region,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020
강원도,5017704,5073569,5244047,5697026,6288439,6610171,6572811,6470442,6895954
경기도,10268867,10721242,11194598,11861218,12768256,13887902,14639393,15421171,15659928
경상남도,7049242,7580157,8063321,8177517,8115336,8054941,7964061,8358840,9254155
경상북도,5154609,5510731,6015412,6365920,6152243,6295791,6194193,6360006,6903557
광주광역시,6159958,6387516,6988350,7665966,8172572,8712565,9219905,9511984,10086411
대구광역시,7630697,8177568,9304979,10538937,10625995,11316737,11834449,11919879,12458865
대전광역시,7994548,8229245,8379888,8445784,8762061,9130145,9834420,10633223,11737035
부산광역시,8955963,8681508,9182984,9920745,11047033,11730806,11791791,13086323,13951932
서울특별시,18912444,18659223,19201809,20206966,22287993,25421426,27119611,34400559,33660626
세종특별자치시,6241319,6168699,7381741,9044967,10432436,11415572,12988359,15411576,17264926
울산광역시,8549304,8525141,8730972,9411367,10178393,10272408,9722977,10320963,11368712
인천광역시,9012400,9044267,9559661,10024058,10746249,11223117,11616445,12077865,12964064
전라남도,4641582,5102109,5174298,5352663,5489391,6037071,6342887,6581690,6929461
전라북도,5305825,5742993,5828642,6007848,6150680,6337203,6599338,6601301,7208466
제주특별자치도,6960907,7490321,7921811,9639861,11929400,12991006,12563689,12687691,12974835
충청남도,6272607,6729618,7042029,7088800,6936223,6949639,7097180,7924791,8205053
충청북도,6468944,6342768,6717526,6803101,6644025,6724251,6682570,7070350,7635677
