region,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020
강원도,6630,17830,19607,22038,20351,16608,12825,13914,12550
경기도,41582,147064,172370,200666,175042,154053,151747,141529,150660
경상남도,12818,39806,47725,48027,37483,30780,25463,33552,24848
경상북도,11594,29417,27867,27196,20114,20705,18861,22647,18548
광주광역시,8387,22310,25424,23859,21420,22764,25384,20135,13465
대구광역시,16495,39240,34041,32299,19047,32067,32582,30142,21410
대전광역시,6432,20935,20923,21186,22785,20283,19602,27390,17102
부산광역시,13255,42777,52758,62263,56409,37938,25857,36080,30418
서울특별시,18633,68136,85537,120023,110183,105063,81389,74917,50428
세종특별자치시,546,1130,1204,2033,3520,4669,3430,5802,5722
울산광역시,6270,18591,23111,21153,14235,11513,8148,14289,10276
인천광역시,9515,34446,42172,49099,42968,36600,30384,34224,36690
전라남도,5774,13448,14652,18934,19502,19118,17092,16589,12207
전라북도,6789,17167,19527,22914,22336,20038,17860,18681,14901
제주특별자치도,1828,4284,4374,3540,3632,2524,2537,2316,1617
충청남도,12359,27048,29074,25822,19542,19667,18926,24946,19659
충청북도,7114,19946,20125,17001,16262,15921,13853,17149,16503
