region,apt_size,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020
강원도,under_50,3834824,3930871,4194376,4435724,5019125,5274994,5190360,4847307,4899397
강원도,50_60,5035603,5157185,5259505,5625213,6235641,6711159,6508426,6126538,6428878
강원도,60_85,5671159,5888292,5937993,6421464,7077037,7371753,7331259,7408028,8041103
강원도,85_100,6053554,6116621,6405393,6627079,7321626,7739430,8348195,7355994,8352011
강원도,100_135,6059070,5874995,6047482,6335626,6733753,7191388,7167794,6703160,7244900
강원도,135_over,6009470,5435167,5699527,5954606,6343648,6945226,7084828,6577520,6897619
경기도,under_50,10062621,10766882,11287985,12290707,13432154,14414160,15147142,14816804,15911273
경기도,50_60,9987100,10606181,11227112,11981337,12906303,14069483,14968033,15826207,16390992
경기도,60_85,10210120,10584366,11038438,11670396,12565168,13715817,14502582,15359781,15441251
경기도,85_100,10522374,11831791,11778145,12440266,13726847,14661255,15657482,17870889,17327268
경기도,100_135,11045072,11267439,11552981,11873022,12587492,13808392,14343570,15404152,14971804
경기도,135_over,11248392,10743649,10862517,11257425,11597836,12312264,12872036,13509718,13476191
경상남도,under_50,6472524,7226186,7865932,7881921,7674612,7509604,7061144,7094782,8822895
경상남도,50_60,6858122,7323308,7821192,7894782,7922449,7764144,7634212,7649102,8353264
경상남도,60_85,7204725,7742538,8167048,8348435,8298247,8360798,8302331,8789521,9688154
경상남도,85_100,6998995,7058335,7576147,7871554,8143921,8631128,8719887,9419168,9803731
경상남도,100_135,8098563,8421163,8886317,8956575,8892042,8808704,8969869,9631770,10104898
경상남도,135_over,8198244,8568982,8607712,8613273,8225049,8036918,8325820,8360699,8696847
경상북도,under_50,3781014,4074570,4719561,5258711,4941786,4654725,4346073,3919817,4307228
경상북도,50_60,4650019,5101117,5681537,5964207,5763034,5546019,5431371,5296350,5570098
경상북도,60_85,5619227,6137380,6649582,6990122,6859420,7241974,7135745,7438519,8078094
경상북도,85_100,5988153,6616897,6676173,7578917,6696794,6850832,6705317,8430440,9312062
경상북도,100_135,6543950,6814524,7380316,7986024,7683610,7961802,7846191,7724457,8084076
경상북도,135_over,6510500,6175515,6773436,7411886,7343831,7256510,7305055,6993851,7194968
광주광역시,under_50,5159520,5613141,6415352,6979762,7242647,7669199,8027212,8163597,8643408
광주광역시,50_60,5767182,6015628,6446048,7123256,7467739,7798567,8097318,8263402,8440842
광주광역시,60_85,6398902,6630242,7339172,8149521,8807054,9331779,9950903,10479206,11042406
광주광역시,85_100,6011059,5862452,6322582,7561586,7426965,7496193,7898600,8077967,8761396
광주광역시,100_135,7185334,7312981,7965656,8893141,9619490,10157528,10786797,11313032,12250550
광주광역시,135_over,7726221,7513226,7765394,8856372,9601289,10202936,11228109,11622861,13120466
대구광역시,under_50,6107402,6776362,7851116,9064163,8925603,8898774,9416476,9267380,9905645
대구광역시,50_60,7222686,7986184,8988787,9946049,9743538,10215236,10451888,10603973,10958011
대구광역시,60_85,7828706,8414568,9599913,10912627,11055776,11751089,12559922,12732662,13522265
대구광역시,85_100,8206934,8635922,10081998,12463666,13642028,14767814,15076881,15712456,15668010
대구광역시,100_135,7942000,8396978,9800463,11477468,11884909,12712956,13422792,13118152,13517945
대구광역시,135_over,8598049,8922168,10115504,12118604,13561688,14083285,15410822,15654766,15532138
대전광역시,under_50,7228836,7926334,7615030,7884121,7753418,8020712,7933469,8411662,9137712
대전광역시,50_60,7625063,7844817,7945111,7929822,8304446,8506206,8741774,9484653,10290938
대전광역시,60_85,8152676,8276834,8533796,8616102,9003701,9472116,10328269,11147675,12524778
대전광역시,85_100,9131681,8706686,8979491,8548413,8975780,9235398,9677277,10370644,12925636
대전광역시,100_135,8940140,9145431,9361906,9403617,9688483,10209695,10991151,11944861,14490063
대전광역시,135_over,7872446,8205718,8435578,8935892,9369068,9595716,10218934,11169126,12507395
부산광역시,under_50,7497634,7596405,7879101,8535014,9690820,10635171,10571196,11662806,11572007
부산광역시,50_60,8775319,8880119,9326776,10016014,11200957,11708027,11602287,12222791,12857248
부산광역시,60_85,8396765,8583568,9185925,9888960,11114950,11816936,11927447,13367421,14441859
부산광역시,85_100,8189105,8704298,9750712,10574925,12127931,12594696,12424880,14089673,15950634
부산광역시,100_135,10033219,9421599,9892377,10914696,11972415,13005880,13445772,14836086,16005794
부산광역시,135_over,14357416,9738228,10262378,11005438,12022101,13093939,13241230,14888645,15857895
서울특별시,under_50,20127998,20051715,20550802,21906186,23382878,25807867,26916516,31916162,31867697
서울특별시,50_60,18514701,18343996,19126440,20339375,23028272,26088908,28457410,35987556,36410317
서울특별시,60_85,17874646,17642891,18066599,19126602,21224192,24402766,25991860,33698171,32730270
서울특별시,85_100,20536422,20396809,21380960,22512561,24567724,30154810,32802609,41211987,39623658
서울특별시,100_135,19583035,19237824,19395152,19799759,21315045,24531699,25693215,32959720,30945677
서울특별시,135_over,24657584,25751505,25950921,26242473,27863668,31178909,33213222,40090132,38182072
세종특별자치시,under_50,5187132,5587523,6723102,9205562,10092319,8847564,8956310,9325120,10361451
세종특별자치시,50_60,5124027,5412089,6631688,8536092,10890894,12171433,13979747,16152536,18687465
세종특별자치시,60_85,6912784,6719218,8061382,9336291,10574314,11595302,13205908,15179158,17290290
세종특별자치시,85_100,0,6961419,7454410,8598033,11796164,13622771,17071642,18893062,22395965
세종특별자치시,100_135,7328221,7003963,8082793,8866903,9240695,11194317,12505130,15796770,16891360
세종특별자치시,135_over,8072350,7591701,7959056,7918922,7874122,8810569,6656055,6701217,7452973
울산광역시,under_50,6455203,6629829,6987118,8029710,8885627,8668555,7031478,7351704,8746594
울산광역시,50_60,7635588,8003579,8314266,8918634,9554347,9576814,8983825,8870452,9914975
울산광역시,60_85,8784384,8736891,9079889,9770699,10583991,10711968,10259970,11008136,12055117
울산광역시,85_100,10197286,11262114,9461414,10672140,12281576,12221006,12432060,13831289,14723529
울산광역시,100_135,10135194,9874349,9954546,10753103,11835678,12046940,11611054,11878542,11910731
울산광역시,135_over,10477057,10171514,9417588,9946015,10841418,10997831,10885692,11035284,11766430
인천광역시,under_50,8752950,8245568,8588254,9063235,9766890,10396009,10563816,10297554,10908615
인천광역시,50_60,8652720,9066203,9528214,10172536,11047217,11433592,11867675,12013246,13006520
인천광역시,60_85,8670271,8763292,9279793,9946651,10656518,11173294,11608074,12419461,13301879
인천광역시,85_100,9289905,8881585,10948354,10752074,11898924,11940535,12155554,13335685,14162717
인천광역시,100_135,10740091,10510704,10766002,11018914,11557762,11995843,12437331,12863632,13930563
인천광역시,135_over,10209919,10347251,10929176,10484461,11019183,11445831,11684787,12245455,12883181
전라남도,under_50,3728673,3980958,3988540,4346429,4480989,4452146,4789564,4833318,4915797
전라남도,50_60,4394737,4868139,4684319,4926528,4902083,5305478,5363432,5522318,5799778
전라남도,60_85,4994367,5500376,5747321,5867923,6273097,6870413,7358544,7780327,8300354
전라남도,85_100,5010162,5139651,5296386,5266658,5319116,6469286,6081060,7037001,7628347
전라남도,100_135,6539349,6415393,6595592,6664178,7299523,7886454,8288037,9048157,9824737
