region,apt_size,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020
강원도,under_50,1745,5230,5375,5129,4973,4335,2953,2599,2222
강원도,50_60,2164,5709,6467,6971,6165,5092,4104,4500,4139
강원도,60_85,2063,5477,6316,7868,7326,5814,4712,5820,5144
강원도,85_100,75,194,218,278,262,198,135,154,160
강원도,100_135,432,894,992,1443,1282,937,742,660,704
강원도,135_over,151,326,239,349,343,232,179,181,181
경기도,under_50,5283,17442,23048,26504,23472,20073,17546,15751,16352
경기도,50_60,11330,40630,46031,52233,46651,40635,37919,35299,38755
경기도,60_85,17987,63772,73604,86951,75077,65850,67028,64718,69997
경기도,85_100,638,2393,3079,3755,3081,2675,2951,3153,3176
경기도,100_135,5101,18020,21557,25362,21818,20338,21258,18309,17679
경기도,135_over,1243,4807,5051,5861,4943,4482,5045,4299,4701
경상남도,under_50,2125,6188,8055,7874,6118,5384,3773,3591,3191
경상남도,50_60,4032,12600,14528,14622,11552,9288,7462,9167,6276
경상남도,60_85,5491,17310,20303,20726,16562,13697,12226,17589,12685
경상남도,85_100,101,438,553,514,348,317,311,452,299
경상남도,100_135,811,2632,3366,3515,2349,1688,1375,2349,1915
경상남도,135_over,258,638,920,776,554,406,316,404,482
경상북도,under_50,1802,4945,5301,5497,3896,3335,2822,2902,2550
경상북도,50_60,3596,9802,9286,9185,6971,6919,6199,6854,4871
경상북도,60_85,4593,11109,10405,10186,7880,8865,8514,11076,9340
경상북도,85_100,109,232,213,196,136,153,135,206,209
경상북도,100_135,1171,2638,1998,1655,929,1150,990,1341,1330
경상북도,135_over,323,691,664,477,302,283,201,268,248
광주광역시,under_50,906,2295,3722,4145,3453,3130,2967,2603,1593
광주광역시,50_60,2889,7432,7446,7986,6987,6707,7735,6268,3922
광주광역시,60_85,3382,9758,11000,9034,8663,10214,11841,9325,6483
광주광역시,85_100,165,393,438,355,321,329,397,395,237
광주광역시,100_135,701,1792,2065,1704,1472,1797,1852,1214,992
광주광역시,135_over,344,640,753,635,524,587,592,330,238
대구광역시,under_50,1456,3760,3808,4284,2251,2942,3158,3012,2139
대구광역시,50_60,3630,9970,9119,8938,5598,8576,9635,8447,6403
대구광역시,60_85,6495,16011,13538,13014,8061,14866,14785,14509,9871
대구광역시,85_100,107,240,231,210,176,321,326,302,271
대구광역시,100_135,3504,6897,5415,4517,2338,4261,3801,3270,2320
대구광역시,135_over,1303,2362,1930,1336,623,1101,877,602,406
대전광역시,under_50,1034,3588,3215,3654,3530,3482,2327,2956,2478
대전광역시,50_60,1346,4150,4192,4256,4469,3829,3408,4999,3749
대전광역시,60_85,3080,10093,9867,9981,10977,9512,10304,14330,8629
대전광역시,85_100,158,525,486,464,580,451,488,751,294
대전광역시,100_135,676,2141,2478,2380,2721,2526,2529,3610,1620
대전광역시,135_over,138,438,685,451,508,483,546,744,332
부산광역시,under_50,1962,5732,7645,9156,9756,7565,4802,5497,4386
부산광역시,50_60,3344,11221,12084,14271,12878,8928,6451,8110,6343
부산광역시,60_85,5379,18576,22981,26583,23608,15797,10923,16487,14602
부산광역시,85_100,146,476,660,817,690,483,282,479,398
부산광역시,100_135,1505,4284,6338,8441,6862,3709,2429,4036,3350
부산광역시,135_over,919,2488,3050,2995,2615,1456,970,1471,1339
서울특별시,under_50,2826,8581,11433,16310,14188,12712,10550,9966,7841
서울특별시,50_60,4567,17958,21453,29040,25690,24804,19212,19528,13608
서울특별시,60_85,7894,30224,37096,53377,48858,45844,34755,31592,20927
서울특별시,85_100,358,1249,1657,2335,2261,2391,1529,1474,755
서울특별시,100_135,2202,7606,10541,14546,14462,14634,11509,9030,5719
서울특별시,135_over,786,2518,3357,4415,4724,4678,3834,3327,1578
세종특별자치시,under_50,151,282,290,419,589,518,386,377,489
세종특별자치시,50_60,106,282,295,401,755,744,715,1196,1421
세종특별자치시,60_85,181,392,451,871,1555,2634,1665,2866,2711
세종특별자치시,85_100,0,8,15,64,166,228,206,568,382
세종특별자치시,100_135,56,138,132,237,418,508,435,772,676
세종특별자치시,135_over,52,28,21,41,37,37,23,23,43
울산광역시,under_50,609,2021,2844,2735,1849,1329,814,1143,722
울산광역시,50_60,1566,5211,6120,5778,4063,3297,2183,3435,2222
울산광역시,60_85,2872,8223,10618,9990,6856,5640,4321,7882,5884
울산광역시,85_100,53,242,117,166,94,93,65,212,124
울산광역시,100_135,912,2086,2564,1857,1043,884,577,1258,984
울산광역시,135_over,258,808,848,627,330,270,188,359,340
인천광역시,under_50,1460,4522,6244,8055,7666,6727,5157,5073,5433
인천광역시,50_60,2462,9794,11214,13512,12036,10049,8109,8595,9313
인천광역시,60_85,3845,14251,15976,19385,16423,13851,11996,14442,15417
인천광역시,85_100,203,675,1066,944,902,779,618,798,966
인천광역시,100_135,1270,4467,6729,6044,5009,4406,3788,4463,4636
인천광역시,135_over,275,737,943,1159,932,788,716,853,925
전라남도,under_50,977,1923,2200,3051,3820,3068,2756,2869,2301
전라남도,50_60,2124,4759,4834,6439,6846,5939,5438,5455,3909
전라남도,60_85,2321,6036,6776,7989,7597,9093,7974,7323,5254
전라남도,85_100,31,58,62,101,71,80,74,88,59
전라남도,100_135,254,549,589,1113,940,756,702,686,557
전라남도,135_over,67,123,191,241,228,182,148,168,127
전라북도,under_50,1123,2867,3287,3958,4373,3888,2905,2812,2009
전라북도,50_60,2682,6365,6910,8021,7447,6865,6754,6142,4584
전라북도,60_85,2496,6477,7570,8854,8601,7565,6620,8008,6773
전라북도,85_100,68,228,213,236,218,199,155,204,193
전라북도,100_135,319,987,1249,1492,1362,1208,1158,1241,1112
전라북도,135_over,101,243,298,353,335,313,268,274,230
제주특별자치도,under_50,572,1235,1131,921,906,738,627,566,451
제주특별자치도,50_60,365,567,690,463,491,384,396,334,191
제주특별자치도,60_85,796,2216,2220,1855,2029,1193,1348,1250,852
제주특별자치도,85_100,8,37,46,26,37,28,23,20,17
제주특별자치도,100_135,62,171,222,209,126,146,112,122,89
제주특별자치도,135_over,25,58,65,66,43,35,31,24,17
충청남도,under_50,3585,6778,8424,7411,5952,5477,4216,4902,3532
충청남도,50_60,2530,6367,6874,6549,4748,4913,4865,5768,4590
충청남도,60_85,4504,10544,10356,9147,7052,7403,7943,11304,9173
충청남도,85_100,130,430,333,243,166,200,297,475,318
충청남도,100_135,1271,2448,2509,1953,1331,1366,1328,2068,1654
충청남도,135_over,339,481,578,519,293,308,277,429,392
충청북도,under_50,1852,5323,5770,4754,4818,4307,3556,2966,3016
충청북도,50_60,2130,6613,6132,5684,5361,5611,4424,4984,4405
충청북도,60_85,2115,6143,6054,4955,4825,4860,4878,7523,7406
충청북도,85_100,76,206,307,205,170,146,124,286,235
충청북도,100_135,536,1257,1468,1067,817,786,666,1059,1157
충청북도,135_over,405,404,394,336,271,211,205,331,284
