공급위치,아파트명,건설사,전용면적,분양가격,지역,세부지역,평,평당 분양가격,평당 예측가격,평당 분양-예측,평당 분양/예측%,예측가격,분양-예측,분양/예측%
강원도 강릉시 포남동 1117외 5필지, KTX강릉역 동도센트리움, 동도건설(주),59.99,287000000,강원도,강릉시,18.18,15786579,12683849,3102730,124,230592375,56407625,124
강원도 원주시 c4블럭, 원주혁신도시 제일풍경채 센텀포레, 제일건설(주),91.4,323700000,강원도,원주시,27.7,11685921,11086345,599576,105,307091756,16608244,105
강원도 원주시 c4블럭, 원주혁신도시 제일풍경채 센텀포레, 제일건설(주),110.58,391500000,강원도,원주시,33.51,11683080,11698000,-14920,100,391999980,-499980,100
강원도 속초시 우렁3길 20 (동명동), 속초 롯데캐슬 인더스카이, 롯데건설(주),79.94,403150000,강원도,속초시,24.22,16645334,11420491,5224843,146,276604292,126545708,146
강원도 속초시 우렁3길 20 (동명동), 속초 롯데캐슬 인더스카이, 롯데건설(주),84.98,466370000,강원도,속초시,25.75,18111456,11375982,6735474,159,292931536,173438464,159
강원도 평창군 대관령면 횡계리 335-8 외2필지, 대관령 현대힐스 700, 현대아산 주식회사,62.79,289600000,강원도,평창군,19.03,15218077,13121892,2096185,116,249709605,39890395,116
강원도 속초시 장안로4길 40 (동명동), 속초디오션자이, 지에스건설(주),84.97,485000000,강원도,속초시,25.75,18834951,11375982,7458969,166,292931536,192068464,166
강원도 속초시 조양동 415번지, 속초2차 아이파크, HDC현대산업개발,79.36,294900000,강원도,속초시,24.05,12261954,11215806,1046148,109,269740134,25159866,109
강원도 속초시 조양동 415번지, 속초2차 아이파크, HDC현대산업개발,84.92,318800000,강원도,속초시,25.73,12390206,11816801,573405,105,304046290,14753710,105
강원도 평창군 봉평면 안흥동1길 25-4, 평창 엘리엇아파트, 에이치아이건설 주식회사,59.55,183000000,강원도,평창군,18.05,10138504,13237710,-3099206,77,238940666,-55940666,77
경상남도 남해군 남해읍 아산리 388-1, 남해스타펠레스,동원건설산업(주),79.38,252000000,경상남도,남해군,24.05,10478170,9271637,1206533,113,222982870,29017130,113
경상남도 밀양시 내이동 133번지, e편한세상 밀양 나노밸리, 대림산업 주식회사,66.97,253300000,경상남도,밀양시,20.29,12483982,10205223,2278759,122,207063975,46236025,122
경상남도 밀양시 내이동 133번지, e편한세상 밀양 나노밸리, 대림산업 주식회사,84.93,297420000,경상남도,밀양시,25.74,11554779,9797622,1757157,118,252190790,45229210,118
경상남도 김해시 안동 360-1, 김해 푸르지오 하이엔드,(주)대우건설,59.76,279000000,경상남도,김해시,18.11,15405853,12670912,2734941,122,229470216,49529784,122
경상남도 김해시 안동 360-1, 김해 푸르지오 하이엔드,(주)대우건설,74.88,342000000,경상남도,김해시,22.69,15072719,12173506,2899213,124,276216851,65783149,124
경상남도 김해시 안동 360-1, 김해 푸르지오 하이엔드,(주)대우건설,84.99,384000000,경상남도,김해시,25.75,14912621,12972226,1940395,115,334034820,49965180,115
경상남도 양산시 물금읍 범어리 409, 양산물금 브라운스톤, 이수건설주식회사,72.76,315440000,경상남도,양산시,22.05,14305669,11024217,3281452,130,243083985,72356015,130
경상남도 양산시 동면 양산사송택지개발지구, 사송더샵데시앙2차(B-7BL), (주)태영건설,84.93,372000000,경상남도,양산시,25.74,14452214,11937476,2514738,121,307270632,64729368,121
경상남도 양산시 동면 양산사송택지개발지구, 사송더샵데시앙2차(B-5BL), (주)태영건설,84.93,376000000,경상남도,양산시,25.74,14607615,11937476,2670139,122,307270632,68729368,122
경상남도 양산시 동면 양산사송택지개발지구, 사송더샵데시앙2차(B-6BL), (주)태영건설,84.93,370000000,경상남도,양산시,25.74,14374514,11937476,2437038,120,307270632,62729368,120
경상남도 창원성산구 사파정동 117, 창원 성산 반도유보라 아이비파크, (주)반도건설,78.95,458000000,경상남도,창원성산구,23.92,19147157,10370938,8776219,185,248072837,209927163,185
경상남도 김해시 삼문동 1069, 이안 센트럴포레 장유 2단지, 대우산업개발(주),59.98,221000000,경상남도,김해시,18.18,12156216,12461545,-305329,98,226550888,-5550888,98
경상남도 김해시 삼문동 903, 이안 센트럴포레 장유 1단지, 대우산업개발(주),59.98,222000000,경상남도,김해시,18.18,12211221,12461545,-250324,98,226550888,-4550888,98
경상남도 창원진해구 남양동 20-2, 창원진해 비전시티 우방아이유쉘, 동아건설산업외1,76.59,237700000,경상남도,창원진해구,23.21,10241275,8330132,1911143,123,193342364,44357636,123
경상북도 칠곡군 북삼읍 인평리 660번지, 칠곡북삼 서희스타힐스 더퍼스트, 서희건설,80.86,201820000,경상북도,칠곡군,24.5,8237551,9418317,-1180766,87,230748766,-28928766,87
경상북도 구미시 야은로43길 13, 성원 상떼빌, 성원건설(주),84.86,229900000,경상북도,구미시,25.72,8938569,11207605,-2269036,80,288259601,-58359601,80
경상북도 경산시 경안로47길 32-18 (중방동), 경산 서희스타힐스, (주)서희건설,59.99,330000000,경상북도,경산시,18.18,18151815,14883803,3268012,122,270587539,59412461,122
경상북도 문경시 문경읍 하리 346번지, 문경역 지엘리베라움 더 퍼스트, 지엘건설(주),84.97,239800000,경상북도,문경시,25.75,9312621,11192422,-1879801,83,288204866,-48404866,83
